7599,0;7599,0.00000;
8886,0;8886,0.00000;
8929,0;8929,0.00000;24338,0.00094;41958,0.00085;45479,0.00091;57563,0.00091;70690,0.00081;80437,0.00099;99896,0.00076;109920,0.00098;117491,0.00092;118838,0.00078;120827,0.00099;130530,0.00093;141573,0.00087;155144,0.00078;164001,0.00091;183007,0.00099;185633,0.00096;192565,0.00092;203620,0.00100;227518,0.00098;235098,0.00079;271425,0.00097;280136,0.00099;303144,0.00096;306808,0.00096;310263,0.00096;327944,0.00080;357902,0.00094;368495,0.00100;387693,0.00082;389251,0.00095;389766,0.00097;402600,0.00088;417292,0.00098;429132,0.00096;443695,0.00091;456512,0.00077;466106,0.00081;467773,0.00097;472478,0.00093;473782,0.00073;477183,0.00096;477731,0.00093;489568,0.00087;519295,0.00099;563249,0.00098;566919,0.00076;567736,0.00086;596305,0.00085;691344,0.00097;721360,0.00091;730753,0.00084;789034,0.00096;794701,0.00098;815744,0.00083;821053,0.00094;826552,0.00072;827584,0.00100;833673,0.00092;835363,0.00095;860423,0.00077;866410,0.00099;874064,0.00088;877541,0.00097;922742,0.00099;923692,0.00099;951580,0.00082;952984,0.00094;965203,0.00100;966514,0.00098;
12358,0;12358,0.00000;
33689,0;33689,0.00000;
45634,0;45634,0.00000;
69349,0;69349,0.00000;
79075,0;79075,0.00000;
83589,0;83589,0.00000;
88195,0;28229,0.00091;31229,0.00090;57805,0.00081;69663,0.00097;72550,0.00098;88195,0.00000;118450,0.00099;161622,0.00091;182090,0.00095;206098,0.00092;218955,0.00089;244724,0.00076;258307,0.00098;269347,0.00095;297933,0.00091;348989,0.00099;352125,0.00095;355863,0.00070;378899,0.00095;382947,0.00053;420840,0.00068;445838,0.00099;452799,0.00071;476755,0.00094;510940,0.00098;538413,0.00094;553607,0.00089;561513,0.00098;584786,0.00093;596380,0.00093;613341,0.00099;632373,0.00090;707439,0.00089;742466,0.00081;751222,0.00099;797545,0.00098;800244,0.00096;811825,0.00068;813713,0.00061;818269,0.00089;850839,0.00085;852266,0.00094;853899,0.00098;872966,0.00057;925321,0.00098;935081,0.00096;994783,0.00069;995609,0.00095;
103610,0;103610,0.00000;
107730,0;14209,0.00056;107730,0.00000;251406,0.00073;280892,0.00055;338922,0.00089;475464,0.00048;541621,0.00076;642901,0.00037;647734,0.00047;731729,0.00048;990809,0.00088;
157070,0;157070,0.00000;
177669,0;177669,0.00000;
178324,0;178324,0.00000;
182502,0;182502,0.00000;
210844,0;210844,0.00000;
215708,0;215708,0.00000;
218920,0;218920,0.00000;
270392,0;270392,0.00000;
271447,0;271447,0.00000;
